,repeated,no_lead,mst_corporate,rs_winter,special_requests,mst_online,rs_summer,log_lead,average_price,total_individuals
0,0,0,0.0,0.0,0,0.0,0.0,224,88.0,2
1,0,0,0.0,0.0,1,1.0,0.0,5,106.68,1
2,0,0,0.0,1.0,0,1.0,0.0,1,50.0,3
3,0,0,0.0,0.0,1,1.0,0.0,211,100.0,1
4,0,0,0.0,0.0,0,1.0,0.0,48,77.0,1
5,0,0,0.0,0.0,1,0.0,0.0,346,100.0,1
6,0,0,0.0,0.0,1,1.0,0.0,34,107.55,2
7,0,0,0.0,1.0,1,1.0,0.0,83,105.61,3
8,0,0,0.0,0.0,1,0.0,1.0,121,96.9,2
9,0,1,0.0,0.0,0,1.0,0.0,0,85.03,1
10,0,0,0.0,0.0,1,1.0,0.0,35,140.4,1
11,0,0,0.0,0.0,0,1.0,0.0,30,88.0,2
12,0,0,0.0,0.0,2,1.0,0.0,95,90.0,1
13,0,0,0.0,0.0,2,1.0,0.0,47,94.5,2
14,0,0,0.0,0.0,1,1.0,1.0,256,115.0,2
15,0,1,0.0,0.0,0,0.0,0.0,0,96.0,1
16,0,0,0.0,0.0,1,1.0,1.0,1,96.0,2
17,0,0,0.0,0.0,0,1.0,0.0,99,65.0,2
18,0,0,0.0,0.0,0,0.0,0.0,12,72.0,2
19,0,0,0.0,0.0,0,1.0,0.0,99,65.0,2
20,0,0,1.0,0.0,0,0.0,0.0,122,67.0,1
21,0,0,0.0,0.0,0,0.0,0.0,2,85.0,2
22,0,0,0.0,0.0,0,0.0,0.0,37,105.0,2
23,0,0,0.0,0.0,1,1.0,0.0,130,94.5,2
24,0,0,0.0,0.0,1,1.0,0.0,99,114.3,2
25,0,0,0.0,0.0,0,0.0,0.0,60,65.0,2
26,0,0,0.0,0.0,0,0.0,0.0,2,110.0,1
27,0,0,0.0,0.0,0,1.0,0.0,37,37.33,1
28,0,0,0.0,0.0,0,0.0,0.0,56,82.0,2
29,0,0,0.0,0.0,1,1.0,0.0,3,177.5,2
30,0,0,0.0,0.0,1,1.0,0.0,107,87.5,2
31,0,0,0.0,1.0,1,1.0,0.0,56,82.44,2
32,0,0,0.0,1.0,1,1.0,0.0,2,69.5,2
33,0,0,0.0,0.0,0,0.0,0.0,72,85.5,2
34,0,0,0.0,0.0,1,1.0,0.0,23,115.0,2
35,0,0,0.0,0.0,0,1.0,1.0,34,81.0,1
36,0,0,0.0,0.0,0,0.0,0.0,289,67.0,2
37,0,0,0.0,0.0,0,1.0,0.0,247,63.75,2
38,0,0,0.0,0.0,1,1.0,1.0,186,121.8,2
39,0,0,0.0,0.0,2,1.0,0.0,64,93.6,2
40,0,0,0.0,0.0,1,1.0,1.0,35,102.0,2
41,0,0,0.0,0.0,1,1.0,0.0,96,121.8,3
42,0,0,0.0,0.0,1,1.0,1.0,41,98.1,2
